date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:37:15	736499/736499	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2002:37:12%20GMT	https://www.classcentral.com/university/curtin	/home/mohamed/websites/final_class/www.classcentral.com/university/curtin.html	(from https://www.classcentral.com/universities)
04:37:16	736267/736267	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2002:37:15%20GMT	https://www.classcentral.com/university/ucl	/home/mohamed/websites/final_class/www.classcentral.com/university/ucl.html	(from https://www.classcentral.com/universities)
04:37:17	429/429	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2012:29:20%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Freading-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=8918caf0150a589822fdd382ff472320	/home/mohamed/websites/final_class/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/reading-trn-sq36f3.png	(from https://www.classcentral.com/universities)
04:37:18	6675/6675	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2016:10:30%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Freading-trn-sq.png?auto=format&h=80&ixlib=php-3.3.1&s=ed89418412ee159a61f72ca8c77b044d	/home/mohamed/websites/final_class/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/reading-trn-sq31d2.png	(from https://www.classcentral.com/universities)
04:37:19	400/400	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2012:29:22%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fyonsei-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=85238c3522b7d2f4f96b01af78e590e7	/home/mohamed/websites/final_class/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/yonsei-trn-sq34e5.png	(from https://www.classcentral.com/universities)
04:37:19	752744/752744	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2002:37:16%20GMT	https://www.classcentral.com/university/reading	/home/mohamed/websites/final_class/www.classcentral.com/university/reading.html	(from https://www.classcentral.com/universities)
04:37:20	11579/11579	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2019:28:50%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fyonsei-trn-sq.png?auto=format&h=80&ixlib=php-3.3.1&s=cb462ffc4013997cb3e595f6be09dd00	/home/mohamed/websites/final_class/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/yonsei-trn-sq124d.png	(from https://www.classcentral.com/universities)
04:37:22	746149/746149	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2002:37:21%20GMT	https://www.classcentral.com/university/unimelb	/home/mohamed/websites/final_class/www.classcentral.com/university/unimelb.html	(from https://www.classcentral.com/universities)
04:37:23	735233/735233	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2002:37:22%20GMT	https://www.classcentral.com/university/kent	/home/mohamed/websites/final_class/www.classcentral.com/university/kent.html	(from https://www.classcentral.com/universities)
04:37:24	783511/783511	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2002:37:24%20GMT	https://www.classcentral.com/university/mgimo	/home/mohamed/websites/final_class/www.classcentral.com/university/mgimo.html	(from https://www.classcentral.com/universities)
04:37:25	750074/750074	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2002:37:25%20GMT	https://www.classcentral.com/university/wesleyan	/home/mohamed/websites/final_class/www.classcentral.com/university/wesleyan.html	(from https://www.classcentral.com/universities)
04:37:26	748973/748973	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2002:37:26%20GMT	https://www.classcentral.com/university/erasmus	/home/mohamed/websites/final_class/www.classcentral.com/university/erasmus.html	(from https://www.classcentral.com/universities)
04:37:27	738868/738868	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2002:37:26%20GMT	https://www.classcentral.com/university/rit	/home/mohamed/websites/final_class/www.classcentral.com/university/rit.html	(from https://www.classcentral.com/universities)
04:37:28	747036/747036	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2002:37:27%20GMT	https://www.classcentral.com/university/nus	/home/mohamed/websites/final_class/www.classcentral.com/university/nus.html	(from https://www.classcentral.com/universities)
04:37:28	423/423	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2010:05:21%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fnus-trn-sq.png?auto=format&blur=200&h=80&ixlib=php-3.3.1&px=16&s=ef512929c536df353a7d4ec0e205d55d	/home/mohamed/websites/final_class/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/nus-trn-sq9f33.png	(from https://www.classcentral.com/universities)
04:37:29	7463/7463	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Mar%202023%2016:10:39%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Finstitutions%2Fnus-trn-sq.png?auto=format&h=80&ixlib=php-3.3.1&s=0604fb177ce622861854086cfb3c861f	/home/mohamed/websites/final_class/ccweb.imgix.net/https_/www.classcentral.com/images/logos/institutions/nus-trn-sq26da.png	(from https://www.classcentral.com/universities)
04:37:31	733838/733838	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2002:37:30%20GMT	https://www.classcentral.com/university/rutgers	/home/mohamed/websites/final_class/www.classcentral.com/university/rutgers.html	(from https://www.classcentral.com/universities)
